0x802F,0x7FDC,0x7B,0x80
0x8049,0x804A,0x61,0x8F
0x7FB6,0x7FE7,0x99,0x6F
0x7F9F,0x7F73,0xAA,0x9D
0x80B3,0x8015,0x62,0x88
0x7F68,0x7FCD,0x98,0x84
0x8086,0x8081,0x99,0x7B
0x7F97,0x802A,0x6A,0xA8
0x7FDE,0x7FD2,0x6F,0xAE
0x8020,0x804F,0x9B,0x79
0x7F76,0x7F8E,0x99,0xAB
0x7FF0,0x7F99,0x8D,0xA9
0x804D,0x80FA,0x50,0x91
0x8033,0x7FB4,0x8A,0x94
0x7FDE,0x7F62,0x92,0x8A
0x803B,0x8008,0x7A,0x7F
0x8046,0x804C,0x9B,0x8C
0x7FC1,0x7FD7,0x9E,0x8E
0x7F2E,0x7FD2,0xAB,0x8F
0x8005,0x805A,0x95,0x77
0x7FC1,0x7F58,0x83,0x8B
0x804B,0x7FE7,0x83,0x94
0x802F,0x803B,0x5B,0x65
0x7FB3,0x7F4B,0x82,0x97
0x8014,0x7FE3,0x6A,0xA1
0x806B,0x7F9C,0x7F,0xAD
0x7F37,0x7FDB,0x80,0x75
0x803D,0x808A,0x96,0x71
0x7F68,0x7F84,0x6F,0xAD
0x7FCC,0x7FC4,0x5E,0x8D
0x7FE5,0x800C,0x93,0x82
0x801C,0x8052,0x8D,0x98
0x7F5C,0x8091,0x72,0x99
0x8102,0x8067,0x73,0x81
0x804A,0x7FCF,0x6A,0xA4
0x801E,0x7FD2,0x7A,0x8C
0x80F8,0x8007,0x84,0xAA
0x8000,0x804F,0x7D,0x82
0x7FF2,0x801D,0x7C,0x74
0x8022,0x7F2C,0x87,0x9D
0x7FD1,0x805C,0x7B,0x8C
0x7F47,0x7F5E,0x74,0x98
0x800E,0x7F83,0x75,0x8F
0x7FE2,0x8019,0x74,0x91
0x7F77,0x7F9C,0xA8,0xA2
0x80A8,0x802A,0x88,0x71
0x7FE6,0x803B,0x7C,0x87
0x7F68,0x7FD2,0x6A,0x88
0x802B,0x7FE7,0x85,0xA1
0x8041,0x7FAE,0x7C,0x8A
0x8004,0x800B,0x80,0x97
0x8097,0x7F5D,0x77,0xA0
0x7F8A,0x7FDD,0x7C,0x8B
0x7FAD,0x803D,0x9C,0x7B
0x7FDD,0x7FC7,0x7D,0x97
0x7FC3,0x807B,0x81,0x7A
0x7FF7,0x800B,0xA0,0x91
0x7FD8,0x805E,0x8A,0x6C
0x8030,0x7FA9,0x8F,0x9F
0x7FAC,0x7FDC,0x6C,0x98
0x7FD9,0x7FEC,0x74,0x92
0x8033,0x7FC5,0x9B,0x9A
0x8056,0x7F90,0x63,0x6C
0x8089,0x8061,0x7B,0x95
0x8035,0x8050,0x6B,0xA2
0x805D,0x7FA5,0x7F,0x8B
0x7FFD,0x807A,0x85,0x7A
0x7FE5,0x8013,0x7B,0x97
0x7FFE,0x7F9C,0x70,0x87
0x7FFD,0x7FF2,0x72,0x98
0x7F54,0x7F60,0x7B,0x92
0x8036,0x7FA9,0x8F,0x87
